2016-01-09 01:34:27 INFO [32112:../src/graphtocluster.c:75] File:	 configuration ./graphtocluster.cnf
2016-01-09 01:34:27 INFO [32112:../src/graphtocluster.c:76] File:	 configuration logger ./logger.cnf
2016-01-09 01:34:27 INFO [32112:../src/graphtocluster.c:77] File:	 ncol graph source ./salami_01.ncol
2016-01-09 01:34:27 INFO [32112:../src/graphtocluster.c:78] Min:	 edge weight 0.500000
2016-01-09 01:34:27 INFO [32112:../src/graphtocluster.c:79] Max:	 step delimeter 3
2016-01-09 01:34:27 INFO [32112:../src/graphtocluster.c:89] Time:	 remove edges: 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:2, E:2, steps: 2
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:117] Found:	 subgraph V:1, E:0, steps: 1
2016-01-09 01:34:27 INFO [32112:../inc/iclust.c:170] Time:	 communities 0.000000
